,SN,B_mag,B_src
0,1980N,12.4,CfA3
1,1981B,11.93,CfA3
2,1981D,12.49,CfA3
3,1986G,12.03,CfA3
4,1989B,12.23,CfA3
5,1990N,12.67,CfA3
6,1990af,17.77,CfA3
7,1991T,11.6,CfA3
8,1991bg,14.6,CfA3
9,1992A,12.53,CfA3
10,1992ag,16.2,CfA3
11,1992al,14.45,CfA3
12,1992bc,15.08,CfA3
13,1992bh,17.59,CfA3
14,1992bo,15.69,CfA3
15,1992bp,18.3,CfA3
16,1993H,16.71,CfA3
17,1993O,17.58,CfA3
18,1993ag,17.82,CfA3
19,1994D,11.78,CfA3
20,1994S,14.76,CfA3
21,1994T,17.32,CfA3
22,1994ae,12.95,CfA3
23,1995D,13.17,CfA3
24,1995E,16.68,CfA3
25,1995ac,17.06,CfA3
26,1995ak,16.0,CfA3
27,1995al,13.33,CfA3
28,1995bd,15.2,CfA3
29,1996X,12.98,CfA3
30,1996bo,15.83,CfA3
31,1997E,15.12,CfA3
32,1997bp,13.91,CfA3
33,1997br,13.63,CfA3
34,1997dg,16.85,CfA3
35,1998aq,12.31,CfA3
36,1998bp,15.28,CfA3
37,1998bu,12.12,CfA3
38,1998de,17.3,CfA3
39,1998es,13.83,CfA3
40,1999aa,14.72,CfA3
41,1999ac,14.09,CfA3
42,1999aw,16.73,CfA3
43,1999by,13.54,CfA3
44,1999cc,16.76,CfA3
45,1999cl,14.87,CfA3
46,1999da,16.65,CfA3
47,1999dk,14.81,CfA3
48,1999dq,14.42,CfA3
49,1999ee,14.85,CfA3
50,1999ek,15.61,CfA3
51,1999gp,15.99,CfA3
52,2000E,12.86,CfA3
53,2000cf,17.08,CfA3
54,2000cn,16.57,CfA3
55,2000dk,15.34,CfA3
56,2001ba,16.18,CfA3
57,2001bt,15.26,CfA3
58,2001cz,15.05,CfA3
59,2001el,12.75,CfA3
60,2001ep,14.87,CfA3
61,2001fe,14.68,CfA3
62,2001fh,14.19,CfA3
63,2001V,14.64,CfA3
64,2002bo,13.94,CfA3
65,2002cd,15.53,CfA3
66,2002cr,14.16,CfA3
67,2002cx,17.54,CfA3
68,2002de,16.66,CfA3
69,2002dj,13.98,CfA3
70,2002dp,14.6,CfA3
71,2002er,14.24,CfA3
72,2002fk,13.11,CfA3
73,2002ha,14.69,CfA3
74,2002hu,16.58,CfA3
75,2003W,15.85,CfA3
76,2003cg,15.79,CfA3
77,2003du,13.43,CfA3
78,2003iv,16.97,CfA3
79,2003kf,13.28,CfA3
80,2004as,16.93,CfA3
81,2005am,13.62,CfA3
82,2005cf,13.24,CfA3
83,2005el,14.84,CfA3
84,2005eq,16.28,CfA3
85,2005eu,,CfA2
86,2005hc,17.31,CfA3
87,2005hk,15.84,CfA3
88,2005iq,16.8,CfA3
89,2005kc,15.58,CfA3
90,2005ke,14.88,CfA3
91,2005ki,15.56,CfA3
92,2005lz,17.55,CfA3
93,2005mc,17.21,CfA3
94,2005ms,16.13,CfA3
95,2005mz,16.37,CfA3
96,2006ac,16.19,CfA3
97,2006ar,16.46,CfA3
98,2006ax,15.01,CfA3
99,2006az,16.45,CfA3
100,2006br,19.08,CfA3
101,2006bt,16.91,CfA3
102,2006bz,18.33,CfA3
103,2006cc,17.81,CfA3
104,2006cm,18.05,CfA3
105,2006cp,15.89,CfA3
106,2006D,14.13,CfA3
107,2006gj,17.67,CfA3
108,2006gr,16.91,CfA3
109,2006kf,,CfA2
110,2006le,14.78,CfA3
111,2006lf,13.7,CfA3
112,2006mp,15.96,CfA3
113,2006N,15.08,CfA3
114,2006nz,18.11,CfA3
115,2006oa,17.84,CfA3
116,2006ob,18.2,CfA3
117,2006qo,16.81,CfA3
118,2006S,16.79,CfA3
119,2006sr,16.14,CfA3
120,2006td,15.72,CfA3
121,2006X,15.28,CfA3
122,2007af,13.13,CfA3
123,2007au,16.46,CfA3
124,2007bc,15.82,CfA3
125,2007bd,16.53,CfA3
126,2007ca,15.95,CfA3
127,2007ci,,CfA2
128,2007co,16.43,CfA3
129,2007cq,15.82,CfA3
130,2007F,15.87,CfA3
131,2007qe,16.01,CfA3
132,2007S,15.82,CfA3
133,2008bf,15.72,CfA3
134,1997Y,15.28,CfA2
135,1997bq,14.57,CfA2
136,1997cn,16.93,CfA2
137,1997cw,16.0,CfA2
138,1997do,14.56,CfA2
139,1997dt,15.64,CfA2
140,1998D,,CfA2
141,1998V,15.88,CfA2
142,1998ab,15.94,CfA2
143,1998co,,CfA2
144,1998dh,14.24,CfA2
145,1998dk,14.93,CfA2
146,1998dm,14.7,CfA2
147,1998dx,17.71,CfA2
148,1998ec,16.44,CfA2
149,1998ef,15.21,CfA2
150,1998eg,16.62,CfA2
151,1999X,16.45,CfA2
152,1999cw,,CfA2
153,1999ef,17.52,CfA2
154,1999ej,15.65,CfA2
155,1999gd,17.02,CfA2
156,1999gh,14.46,CfA2
157,2000B,15.94,CfA2
158,2000ce,17.39,CfA2
159,2000cx,,CfA2
160,2000fa,15.99,CfA2
